objectid,title,creator,location,subject,description,date,publisher,identifier,format,filesize,type,filename,rights,latitude,longitude
coll001,Cowles Woods Before Photo,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,"Overgrown city park (named Cowles Woods) filled with invasive plants, grasses, and trees as well as poison ivy.",6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-1,image/jpeg,12.4 MB,image/Stillimage,IMG_9310.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll002,Cowles Woods Neighborhood Map,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Neighborhood map showing location of Cowles Woods,9/5/22,"Good Walk Consulting, L.L.C. ",CW-09-05-2022-1,image/jpeg,1.6 MB,image/Stillimage,IMG_021.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll003,Invasive Lianas,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Invasive vines wrapped around trees,9/5/22,"Good Walk Consulting, L.L.C. ",CW-04-09-2022-1,image/jpeg,727KB,image/Stillimage,IMG_9304.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll004,Invasive Species,"Turner, Stu","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Invasive honeysuckle,3/15/22,"Good Walk Consulting, L.L.C. ",CW-04-09-2022-2,image/jpeg,1.9MB,image/Stillimage,IMG_9307.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll005,Young Forest of Tree of Heaven,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Fast growing new and old Trees of Heaven,6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-2,image/jpeg,2 MB,image/Stillimage,IMG_9308.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll006,Dense Understory with Invasive Herbaceous Layer,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Dense understory of invasive species choking native plants and trees,6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-3,image/jpeg,2.4 MB,image/Stillimage,IMG_9312.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll007,Remnant Populations of Native Species,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Good plants and bad plants mixed together,6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-4,image/jpeg,2.7 MB,image/Stillimage,IMG_9313.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll008,Lots of Trash,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Empty bottles in Cowles Woods.,6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-5,image/jpeg,4.9 MB,image/Stillimage,IMG_8109.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll009,Neighborhood Refuse,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Discarded seat cushion in Cowles Woods.,6/13/22,"Good Walk Consulting, L.L.C. ",CW-06-13-2022-6,image/jpeg,3.9 MB,image/Stillimage,IMG_7824.jpeg,"Walker, Kjersten",41.34412,-93.39587
coll010,Discarded Items,"Walker, Kjersten","37th and Arapahoe, Des Moines, Iowa",Cowles Woods Rehabilitation,Paint lid of 5 gallon container,8/8/22,"Good Walk Consulting, L.L.C. ",CW-08-08-2022-1,image/jpeg,8.8 MB,image/Stillimage,IMG_7826.jpeg,"Walker, Kjersten",41.34412,-93.39587
